,level_0,index,frequency
0,0,7,0
1,1,0,0
2,2,P,0
3,3,[,0
4,4,G,0
5,5,a,0
6,6,5,0
7,7,A,0
8,8,4,0
9,9,u,0
10,10,V,0
11,11,:,0
12,12,l,0
13,13,.,0
14,14,r,0
15,15,\,0
16,16,R,0
17,17,#,0
18,18,H,0
19,19,N,0
20,20,@,0
21,21,Z,0
22,22,S,0
23,23,b,0
24,24,d,0
25,25,],0
26,26,c,0
27,27,o,0
28,28,+,0
29,29,1,0
30,30,n,0
31,31,X,0
32,32,(,0
33,33,6,0
34,34,B,0
35,35,-,0
36,36,%,0
37,37,),0
38,38,2,0
39,39,p,0
40,40,T,0
41,41,W,0
42,42,=,0
43,43,C,0
44,44,s,0
45,45,I,0
46,46,i,0
47,47,L,0
48,48,K,0
49,49,F,0
50,50,9,0
51,51,8,0
52,52,3,0
53,53,/,0
54,54,O,0
55,55,e,0
56,56,g,0
57,57,M,0
58,58,t,0
59,59,cc,10073898
60,60,CC,5169755
61,61,O),4100218
62,62,(=,3446289
63,63,(=O),3146255
64,64,ccc,2546300
65,65,(C,2451909
66,66,C(=O),2105699
67,67,[C,1976339
68,68,[C@,1970269
69,69,H],1931599
70,70,c1,47598
71,71,)c,1385253
72,72,(C),1096944
73,73,c2,18881
74,74,ccccc,973612
75,75,[C@@,962492
76,76,[C@H],889422
77,77,c3,14918
78,78,[C@@H],849974
79,79,ccc(,829278
80,80,(CC,726531
81,81,NC(=O),689944
82,82,cc(,575416
83,83,C(=O)N,9123
84,84,c(,551321
85,85,=C,6152
86,86,)C,3658
87,87,CCCC,516139
88,88,)cc,502890
89,89,OC,39440
90,90,c4,9344
91,91,CN,427734
92,92,CO,417754
93,93,F),386073
94,94,CCN,358711
95,95,c1ccc(,336200
96,96,(O),321231
97,97,(F),316310
98,98,)c3,11699
99,99,2),302502
100,100,(=O)N,291069
101,101,cn,289545
102,102,)c2,12969
103,103,CCC,278208
104,104,(Cl,271210
105,105,\C,2639
106,106,1),258343
107,107,(C)C,26354
108,108,S(=O),252489
109,109,3),240189
110,110,N),225670
111,111,)c4,7553
112,112,[n,218674
113,113,c1cc,208444
114,114,c3ccccc,203143
115,115,OC(=O),200281
116,116,nc(,199925
117,117,NC,186348
118,118,[nH],186289
119,119,OCC,3143
120,120,c5,3340
121,121,S(=O)(=O),172751
122,122,2C,5331
123,123,cc1,7262
124,124,=O),166860
125,125,ccc(cc,164961
126,126,c2ccccc,164808
127,127,c1ccc,159724
128,128,+],156091
129,129,)c(,155434
130,130,CCN(CC,151998
131,131,nn,151888
132,132,[C@H](,147196
133,133,[C@H](C,146487
134,134,(F)(F),145991
135,135,1C,144287
136,136,2)c3,144010
137,137,ccccc4,44549
138,138,)C(=O)N,9102
139,139,[C@@H](,136148
140,140,Cl,6198
141,141,cccc,135332
142,142,\C=C,131624
143,143,c1ccccc,127661
144,144,[C@@H](C,124595
145,145,NC(=O)C,2054
146,146,CC(C),120489
147,147,[C@],118355
148,148,[N,118018
149,149,)C(=O),117203
150,150,(=C,115589
151,151,(Cl)cc,114373
152,152,3C,113972
153,153,[O,113490
154,154,[O-,112893
155,155,[C@@],112518
156,156,[C@H](CC,111498
157,157,=C(,110231
158,158,2CC,110120
159,159,3)c4,109073
160,160,cccc(,106565
161,161,F)cc,103981
162,162,c1cc(,103420
163,163,1CC,102151
164,164,[C@@H](CC,101201
165,165,c2ccc,100308
166,166,[N+],99418
167,167,CCCCC,97694
168,168,n1,38386
169,169,3CC,95296
170,170,)c5,2590
171,171,n2,28395
172,172,C(=O)C,92347
173,173,c1ccc(cc1,92326
174,174,c(C,92055
175,175,c4ccccc4,19706
176,176,Br,6033
177,177,)cc1,33303
178,178,c2ccc(,89679
179,179,[C@H](O),86603
180,180,=O,85944
181,181,c3ccc,85518
182,182,OC(=O)C,4537
183,183,)N,84610
184,184,CC(=O)N,1746
185,185,cc1),83914
186,186,[C@@H](O),83338
187,187,nc2,4109
188,188,\C=C\,82059
189,189,=N,80503
190,190,[O-],33664
191,191,ncc,79101
192,192,CC1,5493
193,193,[N+](=O),77909
194,194,c3ccc(,76622
195,195,S(=O)(=O)N,2144
196,196,CC(=O),75636
197,197,[C@H]1,75514
198,198,c3ccccc3,25820
199,199,N(C,73677
200,200,c1ccc(cc1),73479
201,201,c1ccccc1,4934
202,202,[C@@H]1,73040
203,203,c1cccc(,72968
204,204,)C(F)(F),72925
205,205,c1ccc2,71900
206,206,NC(=O)[C@H](CC,70160
207,207,N2,70073
208,208,)c1,8721
209,209,4),69447
210,210,ncn,67171
211,211,4CC,66672
212,212,nc3,4782
213,213,c(C),61949
214,214,c6,61639
215,215,C(=O)NC,60845
216,216,(C)CC,60733
217,217,ccccc5,21237
218,218,Cc1,59561
219,219,)C2,59192
220,220,1)c2,59178
221,221,N=C,58781
222,222,SC,58610
223,223,CN1,58601
224,224,c2ccccc2,15584
225,225,O)cc,57160
226,226,ccccc3,55895
227,227,[C@H](C),55868
228,228,c[nH],55788
229,229,(=N,55690
230,230,CCCCCCCC,55530
231,231,n3,15895
232,232,4C,54417
233,233,[C@H]2,54382
234,234,CN(C,54264
235,235,ccc1,54046
236,236,(=N),53949
237,237,(C)C),53319
238,238,OC),53049
239,239,c2ccc(cc,52923
240,240,CCO,52553
241,241,[C@@H](C),51599
242,242,NC(=O)[C@H](C,51206
243,243,cc(C,51006
244,244,%1,50874
245,245,1=O),50487
246,246,cc2,50470
247,247,c1ccc(C,50469
248,248,=C(C,49720
249,249,NC(=O)N,49568
250,250,C(=O)O),48614
251,251,(Cl),48527
252,252,ccc3,48514
253,253,(Cl)c,48318
254,254,Cl.,48119
255,255,c2cc(,47615
256,256,(C)(C),47214
257,257,\C(=C,46863
258,258,2)C,46639
259,259,[C@@H]2,46295
260,260,CCN(C,46182
261,261,N(CC,46069
262,262,nc1,3565
263,263,CNC,45538
264,264,c4ccc,44714
265,265,c2ccccc2),44351
266,266,ccc2,43633
267,267,C(=O)O,17568
268,268,3)C,43578
269,269,[C@H]3,42890
270,270,2=O),42213
271,271,COc1ccc(,41999
272,272,N1,1938
273,273,CCC(CC,41124
274,274,c4ccc(,41006
275,275,COC(=O),40887
276,276,(=O)O),40623
277,277,CN(CC,40555
278,278,c3ccc(cc,40429
279,279,P(=O),40296
280,280,c3ccccc3),40162
281,281,cc3,39820
282,282,=CC,39704
283,283,N3,39594
284,284,)CC,39397
285,285,c(O),39218
286,286,NS(=O)(=O),39178
287,287,COc1cc(,38745
288,288,c5ccccc5,8778
289,289,COc1cc,37747
290,290,c1cccc(c1,37704
291,291,Nc2,37594
292,292,)c(OC,37470
293,293,5CC,37462
294,294,4)c5,37367
295,295,c1ccccc1),36695
296,296,c2ccc3,36429
297,297,1=O,36428
298,298,cs,35708
299,299,c1ccc(cc1)c2,35632
300,300,oc(,35483
301,301,(=S,35081
302,302,[C@@H]3,34820
303,303,C(=O)N[C@@H](CC,34687
304,304,c3cc(,34516
305,305,nc4,3583
306,306,#N,27477
307,307,c1n,33717
308,308,(O)C,33590
309,309,c2c1,15825
310,310,NCC,33298
311,311,c3cc,33120
312,312,NC(=O)[C@@H](,32908
313,313,)C(F)(F)F,6144
314,314,[N+](=O)[O-],26840
315,315,/C,32421
316,316,n4,10357
317,317,[n+],32116
318,318,CN(C),31941
319,319,ccccc2,1525
320,320,(C)(C)C,15633
321,321,[C@]1,30832
322,322,2)C(=O)N,30482
323,323,CC(C)(C),30372
324,324,nc,29821
325,325,ccc4,29682
326,326,O=C(,29357
327,327,2)C(=O),29210
328,328,c2cccc(,29192
329,329,OCO,29111
330,330,Cc1cc,29098
331,331,(=N)N),28524
332,332,F)c,28424
333,333,5),28294
334,334,ccc(Cl)cc,27838
335,335,O[C@@H],27764
336,336,N=C(,27277
337,337,4)C,27030
338,338,c1nc(,27021
339,339,C(=O)N[C@@H](C,26704
340,340,c2n,26683
341,341,)C(=O)N[C@@H](CC,26629
342,342,O[C@H](C,26520
343,343,c(N,26459
344,344,CC(C)C,26417
345,345,occc,26401
346,346,3=O),26387
347,347,#N),26367
348,348,2)c3ccccc,26358
349,349,(C)cc,26234
350,350,\C(=N,26106
351,351,C(F)(F),25971
352,352,)c6,25826
353,353,c2cccc,25685
354,354,\N=C,25675
355,355,CN2,25636
356,356,CCOC(=O),25344
357,357,c3ccccc2,25042
358,358,c3cccc,25033
359,359,c2cc,25015
360,360,CNC(=N)N),24972
361,361,O[C@H],24934
362,362,O=C,24881
363,363,)c(C,24623
364,364,c3cccc(,24515
365,365,P(=O)(O),24428
366,366,ccc(F)cc,24336
367,367,(N,24063
368,368,c3c2,8335
369,369,Br)cc,23877
370,370,c1cn,23834
371,371,)\,23331
372,372,COc1ccc(cc1,22848
373,373,O)C,22751
374,374,[C@@]2,22727
375,375,[C@H](NC(=O),22531
376,376,c7,22427
377,377,5C,22426
378,378,[C@@H]1CC,22092
379,379,c3ccc4,21928
380,380,-],21874
381,381,c2cn,21868
382,382,OC)cc,21858
383,383,2CCN(CC,21836
384,384,=N\,21682
385,385,1=C,21606
386,386,nc(N,21581
387,387,F)c(,21378
388,388,S(=O)(=O)C,3797
389,389,c3ccc(Cl)cc,21012
390,390,CCCCCC,20860
391,391,(=O)NC,20826
392,392,c4cc,20791
393,393,F)C,20785
394,394,Cn1,20578
395,395,N(C),20513
396,396,N4,20423
397,397,3)C(=O),20419
398,398,[C@@]3,20410
399,399,ccccc6,6823
400,400,(CCC,20283
401,401,1)C(=O),20143
402,402,[C@@]1,20139
403,403,[C@]2,20095
404,404,[C@]3,20023
405,405,c2c(,19962
406,406,\N=C\,19935
407,407,C(=O)N(C,19800
408,408,(=S)N,19755
409,409,CCN1,19752
410,410,c3n,19512
411,411,COc1ccc2,19454
412,412,=CC(=O),19438
413,413,c3c(,19252
414,414,N2CCN(CC,19214
415,415,(O,19210
416,416,Cc1ccc(,19119
417,417,c2ccc(Cl)cc,18981
418,418,)C(=O)O,2599
419,419,3)c4ccccc4,14836
420,420,OC)c(OC,18859
421,421,NC(=O)CC,18728
422,422,OC1,18663
423,423,c2ccc(cc2),18492
424,424,#C,1974
425,425,3CCOCC,18398
426,426,OC)c1,18374
427,427,[C@H]4,18337
428,428,COc1ccc(cc1),18271
429,429,c4ccc(cc,18227
430,430,nc(C,18215
431,431,[O-][N+](=O),18213
432,432,\C(=C\,17980
433,433,)cc2,14658
434,434,1)C,17768
435,435,[C@@H]4,17581
436,436,c4ccccc3,17554
437,437,c1c(,17498
438,438,OC(=O)C(F)(F),17340
439,439,ccccc1,17338
440,440,)NC(=O),17247
441,441,N)C,17027
442,442,3CCCCC,16980
443,443,N2C,16972
444,444,OC(C,16962
445,445,c1C,5575
446,446,(=O)C,16891
447,447,c4cc(,16858
448,448,SCC,16847
449,449,3)C(=O)N,1537
450,450,FC(F)(F),16771
451,451,c3cn,16695
452,452,2CCC,16694
453,453,\C=N\,16659
454,454,c2ccccc1,16617
455,455,COc1ccccc1,16612
456,456,2=O,16599
457,457,Cc1cc(,16492
458,458,c3ccc(F)cc,16355
459,459,[C@@H](O,16330
460,460,\C(=C/,16318
461,461,)C(F)(F)F),16284
462,462,[C@@H]1C,16225
463,463,2=C,16181
464,464,F)c3,4002
465,465,CCCN,16069
466,466,-].,15904
467,467,COc1ccc(C,15831
468,468,c3ccccc3C,15784
469,469,c12,15672
470,470,5)C,15640
471,471,c2cccc(c2,15569
472,472,Br),15559
473,473,(C)C)C(=O)N,2275
474,474,OC(=O)C),15380
475,475,(C(=O)N,15355
476,476,n(C,15271
477,477,c(CC,15245
478,478,4CCOCC,15242
479,479,=C(N),15224
480,480,\C=C/,15222
481,481,c4cccc,15130
482,482,[C@H]1C,15109
483,483,)C(=O)C,1787
484,484,CC(,15050
485,485,3CCC,15010
486,486,OCCO,14956
487,487,1)C(=O)N,14850
488,488,+].,14797
489,489,SCC(=O)N,14725
490,490,3CCN(CC,14714
491,491,c1),14692
492,492,cc(Cl),14641
493,493,n2),14618
494,494,C(=O)N1,14569
495,495,[C@@H]2C,14541
496,496,[C@H](O)C,14532
497,497,N2CC,14520
498,498,3CCCC,14466
499,499,OCC(=O)N,14462
500,500,c1cc2,14441
501,501,%10,14353
502,502,c2ccccc2C,14338
503,503,CCNCC,14277
504,504,n2)c3,14270
505,505,O)[C@@H](O),14247
506,506,.OC(=O)C(F)(F),14140
507,507,O=C(N,14137
508,508,COC(=O)C,14084
509,509,CCOC(=O)C,14072
510,510,\C=C(,14033
511,511,CCN(CC1)c2,13987
512,512,)C(=O)NC,13876
513,513,O=C1,13872
514,514,2)c3ccccc3,9016
515,515,COc1cc2,13798
516,516,NC1,13733
517,517,[C@H]1CC,13718
518,518,2CCCC,13677
519,519,[C@]4,13669
520,520,n1)c2,13596
521,521,ccc5,13576
522,522,c4ccccc4),13553
523,523,[C@H]2C,13535
524,524,(Cl)c3,3325
525,525,[C@@H]2CC,13524
526,526,[C@@]4,13474
527,527,%2,13464
528,528,onc(,13395
529,529,cc(C),13358
530,530,n[nH],13323
531,531,c3ccc(cc3),13319
532,532,CN1C,13305
533,533,NC(=O)OC,13296
534,534,c2ccc(F)cc,13212
535,535,c4cccc(,13208
536,536,NC(=O)c2,12983
537,537,)c3ccccc,12880
538,538,(CC(=O)N,12870
539,539,3)cc1,2454
540,540,F)c2,3273
541,541,c6ccccc6,2905
542,542,\C(=N/,12813
543,543,n5,5435
544,544,[C@@H]3CC,12765
545,545,ccncc,12756
546,546,[Na,12693
547,547,2CCCCC,12690
548,548,(Cl)c(,12668
549,549,3=C,12643
550,550,2)c4,12628
551,551,cc4,12611
552,552,[Na+].,12582
553,553,c(N),12569
554,554,C(=O)OC,1678
555,555,NC(=O)[C@H](CC(C)C),12483
556,556,c4c3,6562
557,557,c2C,12459
558,558,O)c(,12454
559,559,N(C)C,1721
560,560,NC(=N),12275
561,561,(=S),12258
562,562,c4ccc(Cl)cc,12234
563,563,nc5,1606
564,564,2(CC,12216
565,565,ccc(C,12206
566,566,[C@@H](CO),12076
567,567,n(,12049
568,568,cc(OC)c1,12002
569,569,4CCCCC,11994
570,570,OP(=O)(O),11977
571,571,c1cccc(c1)c2,11952
572,572,CCNC,11948
573,573,O=C(C,11931
574,574,nc(C),11910
575,575,[S,11743
576,576,N1C,11727
577,577,CC1(C),11666
578,578,c1ncn,11642
579,579,2)cc1,1944
580,580,ccc(O)cc,11588
581,581,)c(O),11585
582,582,C(=O)NCC,11553
583,583,[C@@H](O)C,11545
584,584,Cc1ccc(cc1),11438
585,585,)S(=O)(=O)N,11427
586,586,c4ccc(F)cc,11338
587,587,[C@@H]3C,11259
588,588,cc(c1,11223
589,589,c2c[nH],11223
590,590,6CC,11170
591,591,(C)C)C,1758
592,592,=C(N)N),11148
593,593,n1),11100
594,594,O[C@H](,11092
595,595,c3cccc(c3,11078
596,596,N(,11072
597,597,([O-],11049
598,598,CC[C@H](C),11035
599,599,CCC(C,11028
600,600,c(Cl)cc,11024
601,601,3(CC,11004
602,602,.OC(=O)C(F)(F)F,2466
603,603,c2nc(,11002
604,604,c1ccccc1C,10996
605,605,cc(O),10976
606,606,NC(=O)NC,10974
607,607,c1nc2,10963
608,608,)c2c1,10962
609,609,[nH]c(,10879
610,610,(C)(C,10839
611,611,ncc(,10823
612,612,CC(C,10756
613,613,)cc3,8962
614,614,c2cc1,10726
615,615,CS,10718
616,616,c1c[nH],10687
617,617,)S(=O)(=O),10656
618,618,4CCCC,10607
619,619,c1nn,10580
620,620,[C@@]5,10549
621,621,OCCN,10476
622,622,CCC1,10444
623,623,2=N,10421
624,624,CC(=O)NC,10415
625,625,c1cccc2,10383
626,626,4)C(=O),10383
627,627,n3),10342
628,628,c4ccc5,10328
629,629,2)N,10322
630,630,\C(=N\,10319
631,631,)c(C),10308
632,632,F)c4,2897
633,633,c8,10237
634,634,6C,10204
635,635,5)c6,10152
636,636,CN1C(=O),10104
637,637,[C@H]3CC,10098
638,638,CN=C(N)N),10083
639,639,4=O),10047
640,640,s1,10026
641,641,CCNC(=O),10019
642,642,c1ccc(Cl)cc,10000
643,643,2/,9992
644,644,3=O,9957
645,645,4)cc1,9952
646,646,sc(,9946
647,647,cccs,9935
648,648,\N=C(,9916
649,649,NC(=O)[C@H](CCCNC(=N)N),9901
650,650,6),9853
651,651,O[C@H](CO)[C@@H](O),9843
652,652,c2ccc(C,9825
653,653,(OC,9795
654,654,[N+](=O)[O-]),9774
655,655,NC1=O),9767
656,656,NC(=O)[C@H](CCCCN,9697
657,657,4)N,9637
658,658,=NC,9620
659,659,CCn1,9617
660,660,nc(N),9602
661,661,csc(,9588
662,662,[C@H]3C,9548
663,663,2Cl,2759
664,664,[C@H](N),9508
665,665,c2cccc3,9493
666,666,C1,9481
667,667,CN(C)C,9466
668,668,CN(,9444
669,669,[C@@H](C)O),9440
670,670,c4ccccc4C,9436
671,671,n2C,2066
672,672,n2cn,9402
673,673,Cl),9387
674,674,CN(C)CC,9360
675,675,2)c3ccc(,9356
676,676,2)S(=O)(=O),9352
677,677,OC)c2,9302
678,678,(Cl)c2,3003
679,679,NC(=O)[C@H](CO),9254
680,680,CNC(=O),9199
681,681,c5ccccc4,9176
682,682,oc(C,9160
683,683,c1ccc(cc1)C,9147
684,684,OC(=O)N,9110
685,685,s2,9075
686,686,CN3,9052
687,687,c4cn,9027
688,688,(C)(C)C),9020
689,689,Clc1ccc(,9009
690,690,CCN(C)CC,8958
691,691,c23,8917
692,692,c2ccc(cc2,8845
693,693,4)CC,8820
694,694,)C(=O)N[C@@H](C,8814
695,695,ncccc,8792
696,696,Nc1nc(,8792
697,697,3)CC,8790
698,698,[C@H]5,8783
699,699,OC)c(,8732
700,700,OCCCC,8731
701,701,)c2ccccc,8721
702,702,Oc1ccc(,8718
703,703,COc1ccc(cc1)c2,8700
704,704,c4c(,8685
705,705,)C2=O),8667
706,706,\C=C(/C,8661
707,707,N3CCN(CC,8649
708,708,c1ccc(cc1)C2,8614
709,709,)c3ccccc3,4086
710,710,(=CC,8571
711,711,)c7,8566
712,712,c2ccc(O)cc,8531
713,713,(C)C(=O),8523
714,714,c%1,8517
715,715,3)N,8511
716,716,(F)(,8511
717,717,nn2,4458
718,718,[C@](C),8479
719,719,c2cc3,8470
720,720,OS(=O)(=O),8457
721,721,5CCOCC,8377
722,722,[C@@H]4CC,8358
723,723,C(=O)N),8348
724,724,NC(=S)N,8339
725,725,c5ccc,8333
726,726,(O)(C,8332
727,727,NC(=O)CS,8312
728,728,nnc(,8278
729,729,c3c[nH],8278
730,730,4)C(=O)N,8244
731,731,OC(F)(F),8238
732,732,c5ccc(,8211
733,733,Fc1ccc(,8181
734,734,(C)c2,8170
735,735,3=N,8161
736,736,NC(=O)[C@H](C),8141
737,737,)\C,8118
738,738,(Cl)c4,2727
739,739,c(cn,8077
740,740,C[C@@H]1,8073
741,741,OC[C@H]1,8053
742,742,[C@@H]5CC,7993
